recoding_id;date;CH4;CO;NO;NO_2;O_3;PM10;PM25;SO_2;station
85;01/01/18 17:00;;0.200000002980232;12;20;59;;;;5
86;01/01/18 18:00;1.38999998569488;0.300000011920928;13;46;40;8;4;3;1
87;01/01/18 18:00;;0.300000011920928;2;15;56;7;;5;2
88;01/01/18 18:00;1.12000000476837;0.200000002980232;1;11;60;11;3;4;3
89;01/01/18 18:00;1.16999995708465;;2;31;;17;;;4
90;01/01/18 18:00;;0.200000002980232;11;21;56;;;;5
91;01/01/18 19:00;1.38999998569488;0.300000011920928;13;47;36;10;5;2;1
92;01/01/18 19:00;;0.300000011920928;3;27;44;9;;5;2
93;01/01/18 19:00;1.12000000476837;0.200000002980232;1;12;56;9;2;4;3
94;01/01/18 19:00;1.16999995708465;;1;33;;14;;;4
95;01/01/18 19:00;;0.200000002980232;14;28;49;;;;5
96;01/01/18 20:00;1.38999998569488;0.300000011920928;17;56;31;13;7;2;1
97;01/01/18 20:00;;0.300000011920928;5;30;43;7;;5;2
98;01/01/18 20:00;1.12000000476837;0.200000002980232;1;11;59;10;3;4;3
99;01/01/18 20:00;1.17999994754791;;2;39;;15;;;4
100;01/01/18 20:00;;0.200000002980232;13;29;49;;;;5
101;01/01/18 21:00;1.38999998569488;0.400000005960464;22;64;28;11;6;3;1
102;01/01/18 21:00;;0.300000011920928;3;23;50;4;;5;2
103;01/01/18 21:00;1.12000000476837;0.200000002980232;1;13;57;15;9;3;3
104;01/01/18 21:00;1.17999994754791;;4;57;;16;;;4
105;01/01/18 21:00;;0.200000002980232;12;30;48;;;;5
106;01/01/18 22:00;1.38999998569488;0.400000005960464;18;60;28;9;4;3;1
107;01/01/18 22:00;;0.300000011920928;3;32;43;6;;5;2
108;01/01/18 22:00;1.12000000476837;0.200000002980232;1;12;56;13;7;3;3
109;01/01/18 22:00;1.17999994754791;;3;42;;15;;;4
110;01/01/18 22:00;;0.300000011920928;21;45;33;;;;5
111;01/01/18 23:00;1.39999997615814;0.400000005960464;15;54;33;14;10;3;1
112;01/01/18 23:00;;0.200000002980232;3;33;43;5;;5;2
113;01/01/18 23:00;1.12000000476837;0.200000002980232;1;8;58;12;7;3;3
114;01/01/18 23:00;1.17999994754791;;1;35;;12;;;4
115;01/01/18 23:00;;0.300000011920928;33;62;20;;;;5
116;02/01/18 00:00;1.37999999523162;0.300000011920928;4;34;46;6;4;2;1
117;02/01/18 00:00;;0.200000002980232;1;12;66;5;;5;2
118;02/01/18 00:00;1.11000001430511;0.200000002980232;1;2;74;7;2;3;3
119;02/01/18 00:00;1.16999995708465;;1;24;;10;;;4
120;02/01/18 00:00;;0.200000002980232;13;24;55;;;;5
121;02/01/18 01:00;1.38999998569488;0.300000011920928;3;31;41;2;1;2;1
122;02/01/18 01:00;;0.200000002980232;2;12;58;4;;5;2
123;02/01/18 01:00;1.11000001430511;0.200000002980232;1;1;82;3;1;3;3
124;02/01/18 01:00;1.16999995708465;;1;26;;9;;;4
125;02/01/18 01:00;;0.200000002980232;13;26;44;;;;5
126;02/01/18 02:00;1.37999999523162;0.200000002980232;4;25;50;8;5;2;1
127;02/01/18 02:00;;0.200000002980232;1;13;53;5;;5;2
128;02/01/18 02:00;1.11000001430511;0.200000002980232;1;2;69;3;1;3;3
129;02/01/18 02:00;1.16999995708465;;1;20;;10;;;4
130;02/01/18 02:00;;0.200000002980232;9;13;55;;;;5
131;02/01/18 03:00;1.37000000476837;0.200000002980232;3;22;57;5;2;2;1
132;02/01/18 03:00;;0.200000002980232;1;9;63;4;;4;2
133;02/01/18 03:00;1.11000001430511;0.200000002980232;1;1;74;4;1;3;3
134;02/01/18 03:00;1.15999996662139;;1;12;;8;;;4
135;02/01/18 03:00;;0.200000002980232;9;11;63;;;;5
136;02/01/18 04:00;1.37000000476837;0.200000002980232;2;16;65;3;1;2;1
137;02/01/18 04:00;;0.200000002980232;1;3;74;2;;5;2
138;02/01/18 04:00;1.11000001430511;0.200000002980232;1;1;79;6;2;3;3
139;02/01/18 04:00;1.14999997615814;;1;7;;7;;;4
140;02/01/18 04:00;;0.200000002980232;9;9;74;;;;5
141;02/01/18 05:00;1.37000000476837;0.200000002980232;2;17;69;5;4;2;1
142;02/01/18 05:00;;0.200000002980232;1;3;77;4;;5;2
143;02/01/18 05:00;1.11000001430511;0.200000002980232;1;1;82;8;4;3;3
144;02/01/18 05:00;1.13999998569488;;1;4;;9;;;4
145;02/01/18 05:00;;0.200000002980232;8;14;73;;;;5
146;02/01/18 06:00;1.36000001430511;0.200000002980232;3;23;64;10;7;2;1
147;02/01/18 06:00;;0.200000002980232;1;5;74;3;;5;2
148;02/01/18 06:00;1.10000002384185;0.200000002980232;1;1;84;10;5;3;3
149;02/01/18 06:00;1.13999998569488;;1;4;;11;;;4
150;02/01/18 06:00;;0.200000002980232;14;27;58;;;;5
151;02/01/18 07:00;1.37999999523162;0.300000011920928;6;36;56;3;1;3;1
152;02/01/18 07:00;;0.200000002980232;1;21;60;4;;5;2
153;02/01/18 07:00;1.11000001430511;0.200000002980232;1;7;74;8;4;3;3
154;02/01/18 07:00;1.13999998569488;;1;11;;10;;;4
155;02/01/18 07:00;;0.200000002980232;11;30;56;;;;5
156;02/01/18 08:00;1.38999998569488;0.400000005960464;18;64;35;9;6;3;1
157;02/01/18 08:00;;0.200000002980232;2;21;62;5;;5;2
158;02/01/18 08:00;1.11000001430511;0.200000002980232;1;8;73;9;4;3;3
159;02/01/18 08:00;1.14999997615814;;2;22;;9;;;4
160;02/01/18 08:00;;0.300000011920928;44;66;32;;;;5
161;02/01/18 09:00;1.39999997615814;0.500000000000000;37;86;20;10;6;4;1
162;02/01/18 09:00;;0.400000005960464;12;62;25;3;;6;2
163;02/01/18 09:00;1.11000001430511;0.200000002980232;1;5;79;6;1;3;3
164;02/01/18 09:00;1.15999996662139;;5;37;;9;;;4
165;02/01/18 09:00;;0.500000000000000;108;112;6;;;;5
166;02/01/18 10:00;1.38999998569488;0.500000000000000;35;82;22;9;5;4;1
167;02/01/18 10:00;;0.400000005960464;15;53;33;6;;6;2
168;02/01/18 10:00;1.11000001430511;0.200000002980232;1;8;74;4;1;3;3
169;02/01/18 10:00;1.39999997615814;;95;91;;14;;;4
170;02/01/18 10:00;;0.300000011920928;52;82;19;;;;5
171;02/01/18 11:00;1.39999997615814;0.500000000000000;42;71;23;12;7;3;1
172;02/01/18 11:00;;0.300000011920928;9;36;36;6;;6;2
173;02/01/18 11:00;1.12000000476837;0.200000002980232;3;17;47;11;7;3;3
174;02/01/18 11:00;1.25000000000000;;59;73;;27;;;4
175;02/01/18 11:00;;0.300000011920928;19;37;36;;;;5
176;02/01/18 12:00;;;;;;14;9;;1
177;02/01/18 12:00;;0.300000011920928;12;35;39;12;;6;2
178;02/01/18 12:00;1.12000000476837;0.200000002980232;3;11;54;14;9;3;3
179;02/01/18 12:00;1.16999995708465;;12;37;;18;;;4
180;02/01/18 12:00;;0.300000011920928;30;40;39;;;;5
181;02/01/18 13:00;1.38999998569488;0.400000005960464;36;56;36;14;10;3;1
182;02/01/18 13:00;;0.300000011920928;13;35;42;9;;6;2
183;02/01/18 13:00;1.12000000476837;0.200000002980232;3;10;58;13;8;3;3
184;02/01/18 13:00;1.16999995708465;;20;52;;19;;;4
185;02/01/18 13:00;;0.300000011920928;24;36;45;;;;5
186;02/01/18 14:00;1.37999999523162;0.400000005960464;30;53;39;9;5;3;1
187;02/01/18 14:00;;0.300000011920928;9;27;50;10;;6;2
188;02/01/18 14:00;1.12000000476837;0.200000002980232;3;11;60;14;8;3;3
189;02/01/18 14:00;1.16999995708465;;14;38;;21;;;4
190;02/01/18 14:00;;0.300000011920928;24;35;49;;;;5
191;02/01/18 15:00;1.38999998569488;0.400000005960464;34;58;39;12;7;3;1
192;02/01/18 15:00;;0.300000011920928;7;22;53;9;;6;2
193;02/01/18 15:00;1.12000000476837;0.200000002980232;4;12;63;13;8;4;3
194;02/01/18 15:00;1.16999995708465;;11;33;;19;;;4
195;02/01/18 15:00;;0.200000002980232;22;29;52;;;;5
196;02/01/18 16:00;1.38999998569488;0.400000005960464;27;50;39;10;6;3;1
197;02/01/18 16:00;;0.300000011920928;7;22;49;9;;6;2
198;02/01/18 16:00;1.12999999523162;0.200000002980232;3;12;57;12;6;3;3
199;02/01/18 16:00;1.16999995708465;;7;33;;19;;;4
200;02/01/18 16:00;;0.200000002980232;18;27;50;;;;5
201;02/01/18 17:00;1.38999998569488;0.400000005960464;24;53;32;11;6;3;1
202;02/01/18 17:00;;0.300000011920928;6;27;42;10;;5;2
203;02/01/18 17:00;1.12999999523162;0.200000002980232;;;57;11;6;3;3
204;02/01/18 17:00;1.17999994754791;;9;43;;22;;;4
205;02/01/18 17:00;;0.200000002980232;19;37;39;;;;5
206;02/01/18 18:00;1.39999997615814;0.400000005960464;30;62;24;13;8;3;1
207;02/01/18 18:00;;0.300000011920928;6;42;32;8;;6;2
208;02/01/18 18:00;1.12999999523162;0.200000002980232;1;9;51;10;5;;3
209;02/01/18 18:00;1.17999994754791;;8;48;;20;;;4
210;02/01/18 18:00;;0.300000011920928;22;49;29;;;;5
211;02/01/18 19:00;1.40999996662139;0.500000000000000;51;78;11;13;9;3;1
212;02/01/18 19:00;;0.300000011920928;10;62;16;7;;6;2
213;02/01/18 19:00;1.12999999523162;0.200000002980232;1;18;39;13;8;;3
214;02/01/18 19:00;1.17999994754791;;14;66;;20;;;4
215;02/01/18 19:00;;0.500000000000000;28;66;16;;;;5
216;02/01/18 20:00;1.40999996662139;0.500000000000000;47;74;11;11;7;3;1
217;02/01/18 20:00;;0.300000011920928;10;57;16;7;;6;2
218;02/01/18 20:00;1.12999999523162;0.200000002980232;1;17;36;13;8;;3
219;02/01/18 20:00;1.17999994754791;;7;59;;18;;;4
220;02/01/18 20:00;;0.400000005960464;45;77;6;;;;5
221;02/01/18 21:00;1.41999995708465;0.600000023841857;62;82;6;12;9;3;1
222;02/01/18 21:00;;0.400000005960464;15;63;9;7;;6;2
223;02/01/18 21:00;1.12999999523162;0.200000002980232;1;22;31;11;6;;3
224;02/01/18 21:00;1.20000004768371;;19;65;;16;;;4
225;02/01/18 21:00;;0.500000000000000;80;91;3;;;;5
226;02/01/18 22:00;1.41999995708465;0.600000023841857;56;80;6;21;17;3;1
227;02/01/18 22:00;;0.500000000000000;26;67;7;10;;7;2
228;02/01/18 22:00;1.12999999523162;0.200000002980232;1;28;27;12;7;;3
229;02/01/18 22:00;1.22000002861022;;43;81;;19;;;4
230;02/01/18 22:00;;0.600000023841857;118;93;3;;;;5
231;02/01/18 23:00;1.41999995708465;0.600000023841857;55;77;6;14;10;3;1
232;02/01/18 23:00;;0.300000011920928;7;38;23;8;;6;2
233;02/01/18 23:00;1.13999998569488;0.200000002980232;1;22;28;13;8;;3
234;02/01/18 23:00;1.23000001907348;;39;76;;20;;;4
235;02/01/18 23:00;;0.300000011920928;32;54;15;;;;5
236;03/01/18 00:00;1.39999997615814;0.400000005960464;14;51;19;5;3;2;1
237;03/01/18 00:00;;0.300000011920928;4;37;21;8;;6;2
238;03/01/18 00:00;1.12999999523162;0.200000002980232;1;27;21;13;8;;3
239;03/01/18 00:00;1.23000001907348;;14;53;;18;;;4
240;03/01/18 00:00;;0.300000011920928;23;43;21;;;;5
241;03/01/18 01:00;1.38999998569488;0.300000011920928;5;31;33;5;3;2;1
242;03/01/18 01:00;;0.300000011920928;2;18;38;7;;6;2
243;03/01/18 01:00;1.12999999523162;0.200000002980232;1;14;32;10;7;;3
244;03/01/18 01:00;1.40999996662139;;8;53;;14;;;4
245;03/01/18 01:00;;0.200000002980232;14;26;35;;;;5
246;03/01/18 02:00;1.37999999523162;0.200000002980232;7;22;39;9;7;2;1
247;03/01/18 02:00;;0.200000002980232;2;14;42;5;;6;2
248;03/01/18 02:00;1.12000000476837;0.200000002980232;1;3;46;7;4;;3
249;03/01/18 02:00;1.57000005245208;;12;52;;20;;;4
250;03/01/18 02:00;;0.200000002980232;12;25;34;;;;5
251;03/01/18 03:00;1.38999998569488;0.200000002980232;5;28;27;9;7;2;1
252;03/01/18 03:00;;0.200000002980232;1;19;32;4;;5;2
253;03/01/18 03:00;1.12000000476837;0.200000002980232;1;3;43;7;4;;3
254;03/01/18 03:00;1.66999995708465;;12;48;;19;;;4
255;03/01/18 03:00;;0.200000002980232;10;18;37;;;;5
256;03/01/18 04:00;1.39999997615814;0.300000011920928;4;28;25;2;1;2;1
257;03/01/18 04:00;;0.200000002980232;1;14;32;6;;5;2
258;03/01/18 04:00;1.12000000476837;0.200000002980232;1;1;38;9;6;;3
259;03/01/18 04:00;1.36000001430511;;9;44;;14;;;4
260;03/01/18 04:00;;0.200000002980232;9;12;39;;;;5
261;03/01/18 05:00;1.37999999523162;0.200000002980232;4;17;37;7;5;2;1
262;03/01/18 05:00;;0.200000002980232;2;11;36;4;;5;2
263;03/01/18 05:00;1.11000001430511;0.100000001490116;1;1;44;8;7;;3
264;03/01/18 05:00;1.32000005245208;;11;44;;13;;;4
265;03/01/18 05:00;;0.200000002980232;9;13;39;;;;5
266;03/01/18 06:00;1.37000000476837;0.200000002980232;4;26;32;6;4;2;1
267;03/01/18 06:00;;0.200000002980232;1;9;45;2;;5;2
268;03/01/18 06:00;1.12000000476837;0.100000001490116;1;3;41;7;6;;3
269;03/01/18 06:00;1.45000004768371;;34;48;;16;;;4
270;03/01/18 06:00;;0.200000002980232;11;18;38;;;;5
271;03/01/18 07:00;1.38999998569488;0.300000011920928;66;66;6;5;6;3;1
272;03/01/18 07:00;;0.300000011920928;6;37;17;3;;6;2
273;03/01/18 07:00;1.11000001430511;0.100000001490116;1;6;39;5;4;;3
274;03/01/18 07:00;1.40999996662139;;29;54;;17;;;4
275;03/01/18 07:00;;0.300000011920928;55;57;11;;;;5
276;03/01/18 08:00;1.39999997615814;0.400000005960464;64;71;4;4;2;3;1
277;03/01/18 08:00;;0.400000005960464;11;50;10;6;;6;2
278;03/01/18 08:00;1.12000000476837;0.200000002980232;1;12;30;5;4;;3
279;03/01/18 08:00;1.37000000476837;;55;58;;20;;;4
280;03/01/18 08:00;;0.699999988079071;127;89;2;;;;5
281;03/01/18 09:00;1.38999998569488;0.400000005960464;55;64;6;8;7;3;1
282;03/01/18 09:00;;0.400000005960464;18;44;11;7;;6;2
283;03/01/18 09:00;1.11000001430511;0.200000002980232;1;12;29;5;4;;3
284;03/01/18 09:00;1.44000005722045;;78;66;;17;;;4
285;03/01/18 09:00;;0.600000023841857;139;90;2;;;;5
286;03/01/18 10:00;1.40999996662139;0.600000023841857;98;73;6;9;6;3;1
287;03/01/18 10:00;;0.500000000000000;51;60;6;9;;8;2
288;03/01/18 10:00;1.11000001430511;0.200000002980232;2;16;24;4;2;;3
289;03/01/18 10:00;1.32000005245208;;87;69;;20;;;4
290;03/01/18 10:00;;0.500000000000000;98;78;4;;;;5
291;03/01/18 11:00;1.39999997615814;0.500000000000000;51;59;14;4;2;3;1
292;03/01/18 11:00;;0.200000002980232;8;26;25;8;;7;2
293;03/01/18 11:00;1.11000001430511;0.200000002980232;1;10;31;4;4;;3
294;03/01/18 11:00;1.21000003814697;;41;58;;18;;;4
295;03/01/18 11:00;;0.300000011920928;24;42;19;16;13;;5
296;03/01/18 12:00;1.37999999523162;0.400000005960464;35;50;18;6;5;2;1
297;03/01/18 12:00;;0.300000011920928;14;27;26;5;;6;2
298;03/01/18 12:00;1.11000001430511;0.200000002980232;2;8;34;7;6;;3
299;03/01/18 12:00;1.27999997138977;;84;78;;24;;;4
300;03/01/18 12:00;;0.300000011920928;28;35;25;14;10;;5
301;03/01/18 13:00;1.38999998569488;0.400000005960464;50;55;19;13;10;3;1
302;03/01/18 13:00;;0.300000011920928;11;25;28;7;;6;2
303;03/01/18 13:00;1.12000000476837;0.200000002980232;3;10;32;9;9;;3
304;03/01/18 13:00;1.21000003814697;;37;47;;34;;;4
305;03/01/18 13:00;;0.300000011920928;32;37;25;14;10;;5
306;03/01/18 14:00;1.37999999523162;0.500000000000000;48;53;21;21;17;3;1
307;03/01/18 14:00;;0.300000011920928;18;32;23;9;;6;2
308;03/01/18 14:00;1.12000000476837;0.200000002980232;5;9;35;7;6;;3
309;03/01/18 14:00;1.20000004768371;;22;36;;23;;;4
310;03/01/18 14:00;;0.300000011920928;33;35;27;20;14;;5
311;03/01/18 15:00;1.37000000476837;0.400000005960464;32;47;24;9;4;3;1
312;03/01/18 15:00;;0.300000011920928;18;31;14;11;;5;2
313;03/01/18 15:00;1.12000000476837;0.200000002980232;3;7;41;12;10;;3
314;03/01/18 15:00;1.20000004768371;;28;42;;23;;;4
315;03/01/18 15:00;;0.300000011920928;37;34;28;21;14;;5
316;03/01/18 16:00;1.37000000476837;0.300000011920928;24;39;28;11;8;3;1
317;03/01/18 16:00;;0.300000011920928;11;25;14;10;;5;2
318;03/01/18 16:00;1.12000000476837;0.200000002980232;3;8;41;9;7;;3
319;03/01/18 16:00;1.20000004768371;;19;36;;21;;;4
320;03/01/18 16:00;;0.200000002980232;24;28;31;9;4;;5
321;03/01/18 17:00;1.37999999523162;0.300000011920928;27;46;22;5;3;3;1
322;03/01/18 17:00;;0.300000011920928;10;30;13;8;;5;2
323;03/01/18 17:00;1.11000001430511;0.200000002980232;2;9;36;7;5;;3
324;03/01/18 17:00;1.20000004768371;;17;39;;17;;;4
325;03/01/18 17:00;;0.300000011920928;30;37;25;4;2;;5
326;03/01/18 18:00;1.37999999523162;0.500000000000000;48;60;13;9;5;3;1
327;03/01/18 18:00;;0.300000011920928;10;37;10;7;;5;2
328;03/01/18 18:00;1.11000001430511;0.200000002980232;1;10;34;9;7;;3
329;03/01/18 18:00;1.19000005722045;;24;56;;21;;;4
330;03/01/18 18:00;;0.300000011920928;30;48;18;9;5;;5
331;03/01/18 19:00;1.37999999523162;0.400000005960464;46;68;6;6;3;3;1
332;03/01/18 19:00;;0.400000005960464;18;55;2;6;;6;2
333;03/01/18 19:00;1.11000001430511;0.200000002980232;1;20;22;9;7;;3
334;03/01/18 19:00;1.19000005722045;;18;57;;21;;;4
335;03/01/18 19:00;;0.699999988079071;84;76;4;14;9;;5
336;03/01/18 20:00;1.37999999523162;0.500000000000000;61;71;5;12;9;3;1
337;03/01/18 20:00;;0.400000005960464;24;62;1;13;;7;2
338;03/01/18 20:00;1.11000001430511;0.200000002980232;1;36;8;11;9;;3
339;03/01/18 20:00;1.19000005722045;;33;63;;16;;;4
340;03/01/18 20:00;;0.600000023841857;102;85;2;19;13;;5
341;03/01/18 21:00;1.39999997615814;0.600000023841857;73;76;5;16;13;3;1
342;03/01/18 21:00;;0.300000011920928;18;55;5;9;;6;2
343;03/01/18 21:00;1.10000002384185;0.200000002980232;1;21;23;8;6;;3
344;03/01/18 21:00;1.20000004768371;;46;67;;18;;;4
345;03/01/18 21:00;;0.500000000000000;94;85;2;24;16;;5
346;03/01/18 22:00;1.40999996662139;0.600000023841857;77;77;5;13;10;3;1
347;03/01/18 22:00;;0.500000000000000;54;72;1;9;;8;2
348;03/01/18 22:00;1.12000000476837;0.300000011920928;8;45;3;7;6;;3
349;03/01/18 22:00;1.45000004768371;;25;60;;16;;;4
350;03/01/18 22:00;;0.500000000000000;109;89;1;22;16;;5
351;03/01/18 23:00;1.75000000000000;0.500000000000000;50;67;4;12;9;3;1
352;03/01/18 23:00;;0.500000000000000;69;71;1;14;;9;2
353;03/01/18 23:00;1.19000005722045;0.400000005960464;42;57;5;12;9;;3
354;03/01/18 23:00;1.63999998569488;;22;57;;16;;;4
355;03/01/18 23:00;;0.600000023841857;115;84;1;27;20;;5
356;04/01/18 00:00;1.51999998092651;0.500000000000000;53;63;4;14;11;3;1
357;04/01/18 00:00;;0.600000023841857;61;64;1;13;;9;2
358;04/01/18 00:00;1.10000002384185;0.200000002980232;1;9;31;12;10;;3
359;04/01/18 00:00;1.39999997615814;;58;58;;11;;;4
360;04/01/18 00:00;;0.500000000000000;79;75;1;28;22;;5
361;04/01/18 01:00;1.50000000000000;0.500000000000000;45;60;3;13;10;3;1
362;04/01/18 01:00;;0.500000000000000;52;56;1;11;;9;2
363;04/01/18 01:00;1.11000001430511;0.200000002980232;2;18;21;9;8;;3
364;04/01/18 01:00;1.33000004291534;;82;61;;16;;;4
365;04/01/18 01:00;;0.600000023841857;103;70;2;22;16;;5
366;04/01/18 02:00;1.45000004768371;0.400000005960464;37;54;5;9;6;3;1
367;04/01/18 02:00;;0.200000002980232;6;27;11;10;;7;2
368;04/01/18 02:00;1.10000002384185;0.200000002980232;1;5;28;8;7;;3
369;04/01/18 02:00;1.36000001430511;;34;46;;16;;;4
370;04/01/18 02:00;;0.200000002980232;9;28;21;23;19;;5
371;04/01/18 03:00;1.37999999523162;0.300000011920928;11;35;16;8;7;2;1
372;04/01/18 03:00;;0.200000002980232;3;16;16;5;;6;2
373;04/01/18 03:00;1.10000002384185;0.200000002980232;1;3;30;7;7;;3
374;04/01/18 03:00;1.48000001907348;;23;41;;11;;;4
375;04/01/18 03:00;;0.200000002980232;9;14;32;15;14;;5
376;04/01/18 04:00;1.37999999523162;0.300000011920928;16;34;10;5;4;2;1
377;04/01/18 04:00;;0.200000002980232;2;13;18;5;;5;2
378;04/01/18 04:00;1.10000002384185;0.200000002980232;1;2;24;4;3;;3
379;04/01/18 04:00;1.46000003814697;;19;40;;13;;;4
380;04/01/18 04:00;;0.200000002980232;12;16;31;9;7;;5
381;04/01/18 05:00;1.37999999523162;0.300000011920928;5;22;20;6;5;2;1
382;04/01/18 05:00;;0.200000002980232;3;13;18;4;;5;2
